Oración,Corrección
Él está enfermo del estómago y le duele mucho.,ÉL ESTÓMAGO DOLER MUCHO ÉL ENFERMO
Ellos están enfermos del estómago y les duele mucho.,ELLOS ESTÓMAGO DOLER MUCHO ELLOS ENFERMO
Mi abuelo tiene arrugas en el mentón y en la frente.,MI ABUELO MENTÓN FRENTE ARRUGAR
Tu abuelo tiene arrugas en el mentón y en la frente.,TUYO ABUELO MENTÓN FRENTE ARRUGAR
Su abuelo tiene arrugas en el mentón y en la frente.,SUYO ABUELO MENTÓN FRENTE ARRUGAR
El carro que yo quiero comprar es verde.,CARRO COLOR VERDE YO QUERER COMPRAR
El carro que me quiero comprar es verde.,CARRO COLOR VERDE YO QUERER COMPRAR
Mi uniforme es de color rojo.,MI UNIFORME COLOR ROJO
Cómprate un patalón negro.,TU UNO PANTALÓN NEGRO COMPRAR
Esa tela morada está muy bonita.,ESA TELA MORADO BONITO
Hoy el cielo está gris.,HOY CIELO VER COLOR GRIS
La bandera de Colombia tiene tres colores.,COLOMBIA BANDERA COLOR TENER TRES
Pintaron las bancas del parque de blanco.,PARQUE SILLA ELLOS COLOR BLANCO SILLA PINTAR
Pintaron las bancas del parque de blanco.,PARQUE SILLA ELLAS COLOR BLANCO SILLA PINTAR
La niña tiene los ojos grandes y azules.,NIÑA OJOS GRANDES AZUL TENER
El niño tiene los ojos grandes y azules.,NIÑO OJOS GRANDES AZUL TENER
A mi hermana no le gusta el color anaranjado.,MI HERMANA COLOR NARANJA NO GUSTAR
A mi hermana no le gusta el color naranjado.,MI HERMANA COLOR NARANJA NO GUSTAR
A mi hermana no le gusta el color naranja.,MI HERMANA COLOR NARANJA NO GUSTAR
A mi hermano no le gusta el color anaranjado.,MI HERMANO COLOR NARANJA NO GUSTAR
A mi hermano no le gusta el color naranjado.,MI HERMANO COLOR NARANJA NO GUSTAR
A mi hermano no le gusta el color naranja.,MI HERMANO COLOR NARANJA NO GUSTAR
Qué bonito te queda el color amarillo.,A TI BONITO COLOR AMARILLO VER TU BIEN
El radio ya esta viejo.,RADIO YA VIEJO
Hay que comprar otro radio.,NECESITAR RADIO OTRO COMPRAR
La copa está vacía.,COPA VACÍA
Esa copa está vacía.,COPA VACÍA
Esta copa está vacía.,COPA VACÍA
Sírveme más vino por favor.,TU POR-FAVOR MÁS SERVIR VINO
Sírveme más vino por favor.,USTED POR-FAVOR MÁS SERVIR VINO
Esa es la última casa que queda para vender.,ESA ÚLTIMO CASA VENDER
Esta es la última casa que queda para vender.,ESA ÚLTIMO CASA VENDER
Aquí es la última casa que queda para vender.,AQUÍ ÚLTIMO CASA VENDER
Ahí es la última casa que queda para vender.,AHÍ ÚLTIMO CASA VENDER
Después de la fiesta la sala quedó muy sucia y en desorden.,FIESTA DESPUÉS SALA SUCIO DESORDEN
La maleta que llevo de viaje está bastante pesada.,YO VIAJAR MALETA PESADO
La maleta que él lleva de viaje está bastante pesada.,EL VIAJAR MALETA PESADO
La maleta que ella lleva de viaje está bastante pesada.,ELLA VIAJAR MALETA PESADO
La maleta que ellos llevan de viaje está bastante pesada.,ELLOS VIAJAR MALETA PESADO
La maleta que ellas llevan de viaje está bastante pesada.,ELLAS VIAJAR MALETA PESADO
La maleta que usted lleva de viaje está bastante pesada.,USTED VIAJAR MALETA PESADO
La maleta que ustedes llevan de viaje está bastante pesada.,USTEDES VIAJAR MALETA PESADO
La cocina de mi casa es pequeña.,MI CASA COCINA PEQUEÑO
La cocina de tu casa es pequeña.,TU CASA COCINA PEQUEÑO
Ellos tienen una cocina pequeña en su casa.,ELLOS CASA TENER COCINA PEQUEÑO
Ellas tienen una cocina pequeña en su casa.,ELLAS CASA TENER COCINA PEQUEÑO
Ustedes tienen una cocina pequeña en su casa.,USTEDES CASA TENER COCINA PEQUEÑO
Es peligroso que el niño juegue con pólvora.,NIÑO PÓLVORA JUGAR PELIGROSO
Es peligroso que la niña juegue con pólvora.,NIÑA PÓLVORA JUGAR PELIGROSO
El uniforme es parecido al del colegio.,UNIFORME PARECIDO IGUAL COLEGIO
Ese uniforme es parecido al del colegio.,ESO UNIFORME PARECIDO IGUAL COLEGIO
Él empezó a trabajar hace 3 días en la fábrica.,ÉL TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Él empezó a trabajar hace tres días en la fábrica.,ÉL TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ella empezó a trabajar hace 3 días en la fábrica.,ELLA TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ella empezó a trabajar hace tres días en la fábrica.,ELLA TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ellos empezaron a trabajar hace 3 días en la fábrica.,ELLOS TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ellos empezaron a trabajar hace tres días en la fábrica.,ELLOS TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ustedes empezaron a trabajar hace 3 días en la fábrica.,USTEDES TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Ustedes empezaron a trabajar hace tres días en la fábrica.,USTEDES TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Aquí empezaron a trabajar hace 3 días en la fábrica.,AQUÍ TRES DÍA EMPEZAR TRABAJAR FÁBRICA
Aquí empezaron a trabajar hace tres días en la fábrica.,AQUÍ TRES DÍA EMPEZAR TRABAJAR FÁBRICA
La junta directiva y el comité social dan información.,JUNTA COMITÉ-SOCIAL INFORMAR
El patio de la casa es grande.,CASA PATIO GRANDE
El patio de la casa es pequeño.,CASA PATIO PEQUEÑO
El patio de mi casa es grande.,MI CASA PATIO GRANDE
El patio de mi casa es pequeño.,MI CASA PATIO PEQUEÑO
El patio de tú casa es grande.,TUYO CASA PATIO GRANDE
El patio de tú casa es pequeño.,TUYO CASA PATIO PEQUEÑO
El patio de su casa es grande.,SUYO CASA PATIO GRANDE
El patio de su casa es pequeño.,SUYO CASA PATIO PEQUEÑO
Tu bicicleta es diferente a la de mi hermana.,TUYO BICICLETA DIFERENTE MI HERMANA BICICLETA
Su bicicleta es diferente a la de mi hermana.,SUYO BICICLETA DIFERENTE MI HERMANA BICICLETA
Tu bicicleta es diferente a la de mi hermana.,TUYO BICICLETA DIFERENTE MI HERMANO BICICLETA
Su bicicleta es diferente a la de mi hermana.,SUYO BICICLETA DIFERENTE MI HERMANO BICICLETA
Debo llevar a arreglar la aspiradora que está dañada.,ASPIRADORA DAÑAR YO DEBER LLEVAR ARREGLAR
Debes llevar a arreglar la aspiradora que está dañada.,ASPIRADORA DAÑAR TÚ DEBER LLEVAR ARREGLAR
Ella debe llevar a arreglar la aspiradora que está dañada.,ASPIRADORA DAÑAR ELLA DEBER LLEVAR ARREGLAR
Él debe llevar a arreglar la aspiradora que está dañada.,ASPIRADORA DAÑAR ÉL DEBER LLEVAR ARREGLAR
La tarea no tiene ningún error.,TAREA ERROR NADA
La información no estaba completa.,INFORMACIÓN COMPLETO NO
Me gusta tomar café caliente.,MI GUSTAR TOMAR CAFÉ CALIENTE
A ti gusta tomar café caliente.,TÚ GUSTAR TOMAR CAFÉ CALIENTE
A el le gusta tomar café caliente.,ÉL GUSTAR TOMAR CAFÉ CALIENTE
A usted le gusta tomar café caliente.,USTED GUSTAR TOMAR CAFÉ CALIENTE
El instituto fue muy bueno.INSTITUTO BUENO
Esa falda te queda ancha.,TÚ FALDA ANCHO
En Venezuela hay mucho petróleo.,PETRÓLEO MUCHO VENEZUELA
En Venezuela hay poco petróleo.,PETRÓLEO POCO VENEZUELA
El presidente de Perú viajará a nuestro país.,PRESIDENTE PERÚ VIAJAR COLOMBIA
En vacaciones visitaremos Panamá.,VACACIONES NOSOTROS VISITAR PANAMÁ
En vacaciones ellos visitaran Panamá.,VACACIONES ELLOS VISITAR PANAMÁ
En vacaciones ellas visitaran Panamá.,VACACIONES ELLAS VISITAR PANAMÁ
El béisbol es el deporte más popular en Estados Unidos.,BÉISBOL ESTADOS-UNIDOS MÁS FAMOSO DEPORTE
El congreso de Lengua de señas del año pasado fue en España.,ESPAÑA AÑO-PASADO LENGUA-DE-SEÑAS CONFERENCIA
Ecuador es un país pequeño.,ECUADOR PAÍS PEQUEÑO
Rusia es un país grande.,RUSIA PAÍS GRANDE
Sólo he viajado una vez fuera de Colombia.,YO COLOMBIA VIAJAR AFUERA UNO VEZ
Tu sólo has viajado una vez fuera de Colombia.,TÚ COLOMBIA VIAJAR AFUERA UNO VEZ
Ella sólo ha viajado una vez fuera de Colombia.,ELLA COLOMBIA VIAJAR AFUERA UNO VEZ
Ellos sólo han viajado una vez fuera de Colombia.,ELLOS COLOMBIA VIAJAR AFUERA UNO VEZ
Usted sólo ha viajado una vez fuera de Colombia.,USTED COLOMBIA VIAJAR AFUERA UNO VEZ
El 11 de noviembre es el reinado de belleza en Cartagena.,ONCE NOVIEMBRE CARTAGENA REINADO
El once de noviembre es el reinado de belleza en Cartagena.,ONCE NOVIEMBRE CARTAGENA REINADO
Allá en Bogotá no tenemos familia.,YO ALLA BOGOTÁ TENER FAMILIA NO-HABER
Yo no conozco Barranquilla.,YO CONOCER BARRANQUILLA CONOCER NO
Tú no concoces Barranquilla.,TÚ CONOCER BARRANQUILLA CONOCER NO
Ella no concoce Barranquilla.,ELLA CONOCER BARRANQUILLA CONOCER NO
Ellos no concocen Barranquilla.,ELLOS CONOCER BARRANQUILLA CONOCER NO
Ellas no concocen Barranquilla.,ELLAS CONOCER BARRANQUILLA CONOCER NO
ustedes no concocen Barranquilla.,USTEDES CONOCER BARRANQUILLA CONOCER NO
Nos gustaría ir de vacaciones a Asia., NOSOTROS VACACIONES QUERER IR ASIA
A ustedes les gustaria ir de vacaciones a Asia.,USTEDES VACACIONES QUERER IR ASIA
A ellos les gustaria ir de vacaciones a Asia.,ELLOS VACACIONES QUERER IR ASIA
Colón llegó a América en 1492.,COLÓN UNO-CUATRO-NUEVE-DOS AMÉRICA LLEGAR
Colón llegó a América en mil cuatrocientos noventa y dos.,COLÓN UNO-CUATRO-NUEVE-DOS AMÉRICA LLEGAR
La vaca está enferma.,VACA ENFERMO
Ellas vieron tortugas en la playa.,PLAYA ELLAS VER TORTUGA
Ella vio tortugas en la playa.,PLAYA ELLA VER TORTUGA
Ellos vieron tortugas en la playa.,PLAYA ELLOS VER TORTUGA
Él vio tortugas en la playa.,PLAYA ÉL VER TORTUGA
Ustedes vieron tortugas en la playa.,PLAYA USTEDES VER TORTUGA
Usted vio tortugas en la playa.,PLAYA USTED VER TORTUGA
Yo vi tortugas en la playa.,PLAYA USTED VER TORTUGA
En la finca de mi abuelo hay un toro muy viejo.,MI ABUELO FINCA SUYO TORO VIEJO HABER
En la finca de tu abuelo hay un toro muy viejo.,TÚ ABUELO FINCA SUYO TORO VIEJO HABER
En la finca de nuestro abuelo hay un toro muy viejo.,NUESTRO ABUELO FINCA SUYO TORO VIEJO HABER
En la finca de su abuelo hay un toro muy viejo.,SUYO ABUELO FINCA SUYO TORO VIEJO HABER
Mi novio tiene un perro grande y bonito.,MI NOVIO PERRO GRANDE BONITO TENER
Tu novio tiene un perro grande y bonito.,TUYO NOVIO PERRO GRANDE BONITO TENER
Su novio tiene un perro grande y bonito.,SUYO NOVIO PERRO GRANDE BONITO TENER
En ese árbol hay un nido con dos huevos.,ARBOL HABER NIDO DOS HUEVO
